,0,1,2
0,0.862891985,0.900189904,0.862891985
1,0.860947148,0.898832494,0.860947148
2,0.860526226,0.898324911,0.860526226
3,0.858798226,0.898634785,0.858798226
4,0.858266253,0.898205118,0.858266253
5,0.858598383,0.897708825,0.858598383
6,0.857446461,0.897946242,0.857446461
7,0.857303068,0.898196365,0.857303068
8,0.856765917,0.898584803,0.856765917
9,0.857347749,0.898283836,0.857347749
10,0.858036032,0.898640231,0.858036032
11,0.857566058,0.899014577,0.857566058
12,0.857989399,0.899409466,0.857989399
13,0.858196321,0.900810132,0.858196321
14,0.858406302,0.901750939,0.858406302
15,0.857688302,0.902163954,0.857688302
16,0.861520244,0.902519799,0.861520244
17,0.861180857,0.903795176,0.861180857
18,0.862091685,0.904441376,0.862091685
19,0.863299734,0.906001976,0.863299734
20,0.864637825,0.907278354,0.864637825
21,0.864902299,0.908016664,0.864902299
22,0.866839068,0.909643112,0.866839068
23,0.868460045,0.910148516,0.868460045
24,0.869865223,0.911879373,0.869865223
25,0.871947894,0.912401297,0.871947894
26,0.873524069,0.914515471,0.873524069
27,0.874441478,0.916059399,0.874441478
28,0.875618625,0.916637891,0.875618625
29,0.879038985,0.919154697,0.879038985
30,0.878968705,0.920151415,0.878968705
31,0.881840527,0.921249765,0.881840527
32,0.883099882,0.922677528,0.883099882
33,0.885089321,0.924338786,0.885089321
34,0.886462788,0.924506953,0.886462788
35,0.890274008,0.926841768,0.890274008
36,0.890863809,0.927931167,0.890863809
37,0.891960145,0.928933219,0.891960145
38,0.894954063,0.930656092,0.894954063
39,0.896586561,0.932174536,0.896586561
40,0.897307751,0.932887853,0.897307751
41,0.900406337,0.934721177,0.900406337
42,0.900757344,0.936450965,0.900757344
43,0.903229488,0.936185137,0.903229488
44,0.905018827,0.937774993,0.905018827
45,0.907142755,0.939090499,0.907142755
46,0.907684334,0.940022048,0.907684334
47,0.911166222,0.940471834,0.911166222
48,0.912747858,0.941783171,0.912747858
49,0.91366814,0.942864397,0.91366814
50,0.914887167,0.944126192,0.914887167
51,0.917169806,0.945140891,0.917169806
52,0.918829643,0.946178393,0.918829643
53,0.920525122,0.947025908,0.920525122
54,0.922523662,0.948482139,0.922523662
55,0.923230071,0.948343198,0.923230071
56,0.925110803,0.949687418,0.925110803
57,0.92655933,0.950312765,0.92655933
58,0.927237723,0.950307491,0.927237723
59,0.928567891,0.950526286,0.928567891
60,0.930128222,0.951617944,0.930128222
61,0.931674617,0.952568431,0.931674617
62,0.933006927,0.951845351,0.933006927
63,0.933396525,0.95182398,0.933396525
64,0.934860755,0.952163321,0.934860755
65,0.93565789,0.951947498,0.93565789
66,0.936364636,0.9534004,0.936364636
67,0.936144182,0.952816305,0.936144182
68,0.937213489,0.95192864,0.937213489
69,0.937673247,0.952092421,0.937673247
70,0.937949426,0.950992216,0.937949426
71,0.937023416,0.950787421,0.937023416
72,0.93638439,0.950190047,0.93638439
73,0.935669217,0.949262543,0.935669217
74,0.934800858,0.947342342,0.934800858
75,0.933057677,0.945632129,0.933057677
76,0.930469378,0.943771276,0.930469378
77,0.92780736,0.941436487,0.92780736
78,0.92375412,0.938934008,0.92375412
79,0.92195088,0.934329614,0.92195088
80,0.918945334,0.932154485,0.918945334
81,0.915271256,0.929533823,0.915271256
82,0.909788042,0.925145591,0.909788042
83,0.902760724,0.920574735,0.902760724
84,0.897976825,0.912914425,0.897976825
85,0.892100552,0.911866401,0.892100552
86,0.886088428,0.903370941,0.886088428
87,0.881541616,0.898940458,0.881541616
88,0.868581192,0.887468135,0.868581192
89,0.863969684,0.882563783,0.863969684
90,0.856028939,0.873135065,0.856028939
91,0.851658813,0.868693641,0.851658813
92,0.849771446,0.85749213,0.849771446
93,0.841161119,0.847247923,0.841161119
94,0.826189527,0.844710437,0.826189527
95,0.806629769,0.828133013,0.806629769
96,0.782974044,0.820139142,0.782974044
97,0.762923983,0.808814726,0.762923983
98,0.751245064,0.799036296,0.751245064
99,0.736768343,0.784353391,0.736768343
100,0.719575303,0.779334949,0.719575303
101,0.695585407,0.76490573,0.695585407
102,0.69449304,0.757842453,0.69449304
103,0.693912042,0.746126784,0.693912042
104,0.700210039,0.752616967,0.700210039
105,0.695907262,0.76327684,0.695907262
106,0.689218317,0.758744886,0.689218317
107,0.662711427,0.73921624,0.662711427
108,0.652876411,0.752653436,0.652876411
109,0.624607742,0.733014182,0.624607742
110,0.599238538,0.729019417,0.599238538
111,0.568863979,0.722068521,0.568863979
112,0.555073378,0.734592889,0.555073378
113,0.543725478,0.73983099,0.543725478
114,0.535322707,0.717673758,0.535322707
115,0.531179584,0.709200399,0.531179584
116,0.515419987,0.703949729,0.515419987
117,0.483522398,0.695158437,0.483522398
118,0.460673457,0.699047184,0.460673457
119,0.457655586,0.679676264,0.457655586
120,0.440614455,0.66675166,0.440614455
121,0.433758265,0.644965591,0.433758265
122,0.420095226,0.650518086,0.420095226
123,0.434746045,0.655239245,0.434746045
124,0.433455102,0.641000642,0.433455102
125,0.435719853,0.64717356,0.435719853
126,0.426968209,0.668403462,0.426968209
127,0.410623263,0.645280791,0.410623263
128,0.40555582,0.642206078,0.40555582
129,0.37709873,0.619706879,0.37709873
130,0.37077409,0.608929392,0.37077409
131,0.354933138,0.611233318,0.354933138
132,0.352760377,0.601389415,0.352760377
133,0.345833366,0.591851009,0.345833366
134,0.33741383,0.585062913,0.33741383
135,0.324684122,0.581169935,0.324684122
136,0.32191183,0.579356912,0.32191183
137,0.307051161,0.563896617,0.307051161
138,0.309586577,0.580771082,0.309586577
139,0.293420431,0.570854146,0.293420431
140,0.265017799,0.568421491,0.265017799
141,0.255233495,0.580657022,0.255233495
142,0.239580089,0.579370569,0.239580089
143,0.247223573,0.563473423,0.247223573
144,0.233514466,0.579982642,0.233514466
145,0.2523766,0.562081152,0.2523766
146,0.239001914,0.549133744,0.239001914
147,0.235701323,0.529867937,0.235701323
148,0.217782592,0.516321565,0.217782592
149,0.234958718,0.468742995,0.234958718
150,0.236036872,0.4463809,0.236036872
151,0.23605151,0.445645421,0.23605151
152,0.234187774,0.446054487,0.234187774
153,0.220866786,0.436048069,0.220866786
154,0.20885337,0.452503542,0.20885337
155,0.198682716,0.47810423,0.198682716
156,0.190056085,0.494877802,0.190056085
157,0.18542357,0.495560387,0.18542357
158,0.180280132,0.468916602,0.180280132
159,0.183422617,0.426914619,0.183422617
160,0.190856551,0.414439792,0.190856551
161,0.190769929,0.422190119,0.190769929
162,0.185064593,0.418957454,0.185064593
163,0.179927864,0.403807557,0.179927864
164,0.16479306,0.396014886,0.16479306
165,0.159591849,0.381001099,0.159591849
166,0.158932673,0.368769839,0.158932673
167,0.150630671,0.375079304,0.150630671
168,0.157935774,0.396439127,0.157935774
169,0.154893116,0.396161945,0.154893116
170,0.145187746,0.407452545,0.145187746
171,0.147510472,0.393859295,0.147510472
172,0.152850533,0.360210229,0.152850533
173,0.156731176,0.36614284,0.156731176
174,0.140290738,0.368716224,0.140290738
175,0.136681316,0.353472107,0.136681316
176,0.140022694,0.349199295,0.140022694
177,0.135321841,0.393421737,0.135321841
178,0.14328193,0.40417415,0.14328193
179,0.155087048,0.384396932,0.155087048
180,0.144059543,0.376575006,0.144059543
181,0.139389417,0.351470707,0.139389417
182,0.130882148,0.366766838,0.130882148
183,0.132510163,0.347919309,0.132510163
184,0.129334788,0.334257366,0.129334788
185,0.126778652,0.316615485,0.126778652
186,0.119745877,0.320812218,0.119745877
187,0.113832076,0.315008591,0.113832076
188,0.126164937,0.314464717,0.126164937
189,0.120442199,0.312138513,0.120442199
190,0.113783338,0.300506836,0.113783338
191,0.117153434,0.29458662,0.117153434
