,device00,device01,device02,device03,device04,device05,device06,device07,device09,device10,device11,device12,device13,device14,device15,device16,device17,device19,device20,device22
0,672,836,885,826,769,348,280,141,-631,-709,-713,-809,-777,-685,-616,-583,-499,540,661,702
1,500,512,577,583,527,40,98,46,244,248,353,275,147,-710,-628,-695,-678,-550,-509,-590
