,0
0,0.04912593829826802
1,0.0708655969026829
2,0.07371492154338886
3,0.07929802832162135
4,0.09536309795069403
5,0.09436099499309684
6,0.10751564908638014
7,0.09796079372292829
8,0.11888490518333562
9,0.1269708050745802
10,0.14337133144187955
11,0.1315905689390172
12,0.14063646767166912
13,0.15749081868272974
14,0.14371686329066863
15,0.1592463463363947
16,0.1658890805587284
17,0.1673016278014727
18,0.1788166084420871
19,0.16619270002328554
20,0.1714719096706603
21,0.16029609310356144
22,0.17263460421052085
23,0.17557400743276952
24,0.1659845360004246
25,0.1652391954977928
26,0.1615319763599076
27,0.15310232387671413
28,0.17353208622896596
29,0.15769747359192646
30,0.14874636677382352
31,0.14185881181616317
32,0.13589616506665636
33,0.13512071717033272
34,0.11284393045353251
35,0.14369476417490135
36,0.11117504778051897
37,0.10698376542127998
38,0.09729270434787399
39,0.103677708546718
40,0.11911712302210976
41,0.10146835139330271
42,0.08101102034152734
43,0.09515006035844036
44,0.1017188969611862
45,0.08307791111324363
46,0.09424267171202651
47,0.07091747669133519
48,0.07734480657948488
49,0.07180107114060329
50,0.07623815286105556
51,0.0729251284589308
52,0.06117533405239574
53,0.09516358436706986
54,0.08755750833448671
55,0.05613286675713674
56,0.06294710222283234
57,0.06801108442732032
58,0.04605327852893338
59,0.04604664714536626
60,0.05409688244386517
61,0.04467661447827952
62,0.07590900951520575
63,0.06459786128874491
64,0.051774879073541835
65,0.07118244525099526
66,0.04296789470327485
67,0.04117673958516087
68,0.04910553804872208
69,0.08426348807340044
70,0.0460025217844592
71,0.05850803947772182
72,0.0417803872932944
73,0.032591916321736664
74,0.05186809447839768
75,0.034752227068988006
76,0.04908023939586134
77,0.04761378790321306
78,0.04874314954977461
79,0.05987478221826447
80,0.0717933619631727
81,0.030808790242249764
82,0.03316088655091226
83,0.06813132052446033
84,0.03919913834310791
85,0.030902912669463815
86,0.027862048870329646
87,0.0439861820567703
88,0.06688208187006492
89,0.12277638824440633
90,0.03744374706842337
91,0.04033472341887955
92,0.05474978489672974
93,0.04473847731751492
94,0.0423383249887252
95,0.0361862349652267
96,0.05084146594469458
97,0.04044032777821364
98,0.04349558188671563
99,0.04442753751542524
100,0.036015491643673514
