,0
0,0.058946523701108554
1,0.07769757290387319
2,0.08414867031463004
3,0.09142697548880836
4,0.10583987718648444
5,0.10497990056440018
6,0.11167849274521784
7,0.12173651626389279
8,0.1326123205045815
9,0.1372250507440336
10,0.14624923314790134
11,0.1487481820243622
12,0.14827776395206432
13,0.15388850919588423
14,0.17354995936050577
15,0.171182985305961
16,0.16339358090787834
17,0.16747795879588304
18,0.19362361077101523
19,0.16364493304244687
20,0.19065924745692514
21,0.1682163402580499
22,0.19022113800214765
23,0.16653436492204907
24,0.1578460530874094
25,0.15333468896668
26,0.14968495330802883
27,0.16745904103390716
28,0.14257022046350593
29,0.15500768100984405
30,0.14146740343068848
31,0.15168849160777115
32,0.11536165965697942
33,0.13542818123254957
34,0.12753214315556988
35,0.10758994188198483
36,0.10003746721646849
37,0.10112719624537454
38,0.1011320835394688
39,0.11706998843052
40,0.09849575135302409
41,0.12376553361226676
42,0.08592956436989703
43,0.07314684408271309
44,0.0737599491535007
45,0.06199208734456174
46,0.06880812944447251
47,0.08174732559453411
48,0.07002312305775511
49,0.11731511230004983
50,0.12540797231976922
51,0.0728955955283865
52,0.07457350002038074
53,0.05439000307907587
54,0.05235245939173014
55,0.08626004647972643
56,0.05712591955354749
57,0.039172793201302084
58,0.05222925211148646
59,0.040152979675528784
60,0.0443168250386001
61,0.029685654826792796
62,0.031986017461874613
63,0.027691328188527393
64,0.04222157004505335
65,0.022716101473762275
66,0.04427908007960116
67,0.03504333589012997
68,0.08034337292865891
69,0.04223433994759992
70,0.07150822429480336
71,0.03753603357566669
72,0.05578717760509374
73,0.02462099052971474
74,0.048493136982492316
75,0.037616086753036654
76,0.029984913549778024
77,0.07108958332552924
78,0.02931409323568501
79,0.02492356997956971
80,0.021735641234024463
81,0.03602056482358651
82,0.04289714324193728
83,0.031019578182952062
84,0.02218735160010881
85,0.11136335342578914
86,0.03357246703657808
87,0.046154538119607694
88,0.033665997671986206
89,0.02344153741102454
90,0.08553892107012534
91,0.032530056517859715
92,0.05106906169102863
93,0.021868042702972497
94,0.03260512896313066
95,0.047130670447663496
96,0.05764534985813651
97,0.036928037279332936
98,0.08199783231932653
99,0.027152115587315166
100,0.04650704454834216
